CUTCSA,1375,187,0,69,PALACIO DE LA LUZ,23,CIUDAD VIEJA
UCOT,1711,328,0,57,MENDOZA E INSTRUCCIONES,28,PUNTA CARRETAS
CUTCSA,3074,109,0,190,CRIOLLA PARQUE ROOSEVELT,1,PLAZA ESPA├æA
CUTCSA,3258,L30,0,73,ESCUELA DE ARMAS Y SERVICIOS,55,PUNTA DE RIELES
COETC,3305,494,0,34,RUTA 1 KM 26,70,BUCEO (POR COMPEN)
COETC,168,L14,1,67,PASO MOLINO,37,PASO DE LA ARENA
CUTCSA,1554,L1,1,37,PASO DE LA ARENA,39,PAJAS BLANCAS
CUTCSA,981,149,1,24,POCITOS,5,GRUTA DE LOURDES
CUTCSA,3651,148,1,23,CIUDAD VIEJA,50,AVIACI├ôN CIVIL
CUTCSA,3077,142,1,11,ADUANA,190,CRIOLLA PARQUE ROOSEVELT
CUTCSA,2672,127,1,11,ADUANA,34,RUTA 1 KM 26 (POR COMPEN)
COME,218,546,0,82,BELVEDERE,42,PORTONES
CUTCSA,1117,163,1,24,POCITOS,37,PASO DE LA ARENA
COME,3370,526,0,46,COMPLEJO AM├ëRICA,19,PLAYA MALV├ìN
CUTCSA,1584,L6,0,37,PASO DE LA ARENA,32,TERMINAL DEL CERRO
CUTCSA,7365,G6,0,187,POROR├ô,181,TERMINAL COL├ôN
UCOT,1763,316,0,13,CNO MALDONADO KM 16,25,POCITOS
CUTCSA,2815,158,0,5,GRUTA DE LOURDES,11,ADUANA
RAINCOOP,2865,21,0,16,PARQUE ROOSEVELT,7,PLAZA INDEPENDENCIA (POR MALV├ìN NORTE)
CUTCSA,3412,148,0,48,FAUQUET,22,CIUDADELA (POR SAINT BOIS)
UCOT,1759,L13,0,60,TOLEDO,57,MENDOZA E INSTRUCCIONES
CUTCSA,2392,60,1,23,CIUDAD VIEJA,42,PORTONES
CUTCSA,1530,D1,0,9,CARRASCO,23,CIUDAD VIEJA
CUTCSA,726,128,0,35,CNO CIBILS Y CARLOS MAR├ìA RAM├ìREZ,24,POCITOS
CUTCSA,1354,186,1,24,POCITOS,29,SANTA CATALINA (POR TERMINAL DEL CERRO)
UCOT,3088,306,1,12,PUENTE CARRASCO,31,CASAB├ô
CUTCSA,1766,180,1,23,CIUDAD VIEJA,65,JAIME ROLD├ôS Y PONS Y LONDRES
CUTCSA,2396,187,1,7,PLAZA INDEPENDENCIA,69,PALACIO DE LA LUZ
CUTCSA,3366,174,0,50,AVIACI├ôN CIVIL,28,PUNTA CARRETAS (POR LEZICA)
CUTCSA,1057,156,0,6,HIP├ôDROMO,22,CIUDADELA
UCOT,1667,300,0,71,INSTRUCCIONES Y JOS├ë BELLONI,72,CEMENTERIO CENTRAL
CUTCSA,2817,158,0,57,MENDOZA E INSTRUCCIONES,11,ADUANA
RAINCOOP,2918,79,0,94,VILLA ESPA├æOLA,22,CIUDADELA
CUTCSA,2921,103,1,23,CIUDAD VIEJA,14,CNO MALDONADO KM 21
CUTCSA,2638,L28,0,57,MENDOZA E INSTRUCCIONES,87,ESTADIO CENTENARIO
COETC,2079,L19,0,85,PLAYA DE LOS CILINDROS,37,PASO DE LA ARENA
CUTCSA,725,128,1,24,POCITOS,35,CNO CIBILS Y CARLOS MAR├ìA RAM├ìREZ
CUTCSA,7450,133,0,40,PLAYA LA COLORADA,23,CIUDAD VIEJA (POR PAJAS BLANCAS)
CUTCSA,673,125,0,177,DIQUE NACIONAL,23,CIUDAD VIEJA
CUTCSA,352,104,1,11,ADUANA,16,PARQUE ROOSEVELT
CUTCSA,434,106,1,11,ADUANA,17,CNO TENIENTE RINALDI Y RAFAEL
CUTCSA,1297,182,1,56,PARQUE ROD├ô,67,PASO MOLINO
COETC,3337,G,1,23,CIUDAD VIEJA,38,LA PAZ
CUTCSA,455,106,0,17,CNO TENIENTE RINALDI Y RAFAEL,1,PLAZA ESPA├æA
COME,186,524,0,80,TRES OMB├ÜES,23,CIUDAD VIEJA
COETC,3302,494,1,70,BUCEO,33,DELTA DEL TIGRE (POR COMPEN)
CUTCSA,1765,180,0,6,HIP├ôDROMO,23,CIUDAD VIEJA
CUTCSA,1162,169,1,22,CIUDADELA,61,TOLEDO CHICO
CUTCSA,2083,L26,0,31,CASAB├ô,32,TERMINAL DEL CERRO
CUTCSA,442,106,0,17,CNO TENIENTE RINALDI Y RAFAEL,11,ADUANA
CUTCSA,2963,103,1,11,ADUANA,10,CARLOMAGNO
CUTCSA,2385,L63,1,32,TERMINAL DEL CERRO,37,PASO DE LA ARENA
COETC,2089,456,0,57,MENDOZA E INSTRUCCIONES,22,CIUDADELA
RAINCOOP,1645,77,0,20,PUNTA GORDA,7,PLAZA INDEPENDENCIA
CUTCSA,3390,147,0,46,COMPLEJO AM├ëRICA,22,CIUDADELA
COETC,2080,L19,1,37,PASO DE LA ARENA,85,PLAYA DE LOS CILINDROS
CUTCSA,3032,CA1,1,23,CIUDAD VIEJA,95,TRES CRUCES
COME,3016,538,0,189,CEMENTERIO DEL BUCEO,22,CIUDADELA
CUTCSA,2318,158,0,5,GRUTA DE LOURDES,22,CIUDADELA
RAINCOOP,3396,2,0,49,HOSPITAL SAINT BOIS,42,PORTONES
CUTCSA,554,111,1,11,ADUANA,19,PLAYA MALV├ìN
CUTCSA,705,127,1,22,CIUDADELA,33,DELTA DEL TIGRE
CUTCSA,2400,169,1,23,CIUDAD VIEJA,61,TOLEDO CHICO
CUTCSA,881,143,1,22,CIUDADELA,43,8 DE OCTUBRE Y COMERCIO
CUTCSA,1992,199,1,28,PUNTA CARRETAS,45,CEMENTERIO DEL NORTE (POR HIP├ôDROMO)
CUTCSA,3362,148,0,50,AVIACI├ôN CIVIL,23,CIUDAD VIEJA
CUTCSA,733,128,0,36,NUEVO PAR├ìS,24,POCITOS
CUTCSA,498,110,1,1,PLAZA ESPA├æA,18,PUNTAS DE MACADAM
CUTCSA,2164,64,1,11,ADUANA,12,PUENTE CARRASCO (POR AV ITALIA)
CUTCSA,2668,127,0,34,RUTA 1 KM 26,11,ADUANA
COME,185,524,1,23,CIUDAD VIEJA,80,TRES OMB├ÜES
CUTCSA,2999,195,0,32,TERMINAL DEL CERRO,189,CEMENTERIO DEL BUCEO
COETC,3353,L29,1,67,PASO MOLINO,46,COMPLEJO AM├ëRICA
CUTCSA,1274,181,1,24,POCITOS,66,ESCUELA MAR├ìTIMA
COETC,20,404,0,47,COMPLEJO JUANA DE AM├ëRICA,69,PALACIO DE LA LUZ
CUTCSA,698,127,0,33,DELTA DEL TIGRE,11,ADUANA
CUTCSA,3043,L15,1,32,TERMINAL DEL CERRO,40,PLAYA LA COLORADA
COETC,2069,L16,0,39,PAJAS BLANCAS,37,PASO DE LA ARENA
CUTCSA,695,127,1,11,ADUANA,33,DELTA DEL TIGRE
CUTCSA,2792,62,1,23,CIUDAD VIEJA,24,POCITOS
CUTCSA,3296,106,1,11,ADUANA,4,CURVA DE MARO├æAS
CUTCSA,2637,L28,1,87,ESTADIO CENTENARIO,57,MENDOZA E INSTRUCCIONES
COETC,2359,427,0,75,LOS BULEVARES,93,IGU├ü
CUTCSA,1101,158,0,57,MENDOZA E INSTRUCCIONES,23,CIUDAD VIEJA
CUTCSA,644,121,1,23,CIUDAD VIEJA,28,PUNTA CARRETAS
UCOT,1730,330,1,22,CIUDADELA,57,MENDOZA E INSTRUCCIONES
CUTCSA,3072,103,0,8,LOS AROMOS,190,CRIOLLA PARQUE ROOSEVELT
CUTCSA,650,124,0,29,SANTA CATALINA,23,CIUDAD VIEJA
COME,193,538,1,11,ADUANA,70,BUCEO
CUTCSA,819,137,0,37,PASO DE LA ARENA,1,PLAZA ESPA├æA
COETC,2357,L7,0,49,HOSPITAL SAINT BOIS,32,TERMINAL DEL CERRO
CUTCSA,3078,142,0,190,CRIOLLA PARQUE ROOSEVELT,11,ADUANA
COETC,3643,L29,0,96,LA CARBONERA,67,PASO MOLINO
CUTCSA,3408,148,0,50,AVIACI├ôN CIVIL,22,CIUDADELA
CUTCSA,1577,L35,1,37,PASO DE LA ARENA,41,PUNTA ESPINILLO
